Plot,Labels,Labels2,CountPercMean,CountPercSD,Clower,Cupper,TimePercMean,TimePercSD,Tlower,Tupper
Patch Class,flower,Flower,0.019270575,NA,0.009570019,0.028971131,0.024690455,NA,0.009271889,0.040109021
Patch Class,fruit,Fruit,0.434704891,NA,0.389600841,0.479808941,0.781468535,NA,0.739006732,0.823930338
Patch Class,insect,Insect,0.074573467,NA,0.050519182,0.098627752,0.026610946,NA,0.015059645,0.038162247
Patch Class,leaf/stem,Leaf/Stem,0.194192828,NA,0.163783366,0.224602289,0.121692298,NA,0.09251973,0.150864867
Patch Class,other,Other,NA,NA,NA,NA,NA,NA,NA,NA
Patch Class,unknown,Unknown,0.277258239,NA,0.237226313,0.317290166,0.045537766,NA,0.018733892,0.072341639
Patch Detection,YOR,YOR (no Luminance),NA,NA,NA,NA,NA,NA,NA,NA
Patch Detection,YOR_Lumin,YOR with Luminance,NA,NA,NA,NA,NA,NA,NA,NA
Patch Detection,YORall,YOR,0.373327035,NA,0.327473394,0.419180675,0.656547638,NA,0.601946133,0.711149143
Patch Detection,Other,non-YOR,0.626672965,NA,0.580819325,0.672526606,0.343452362,NA,0.288850857,0.398053867
Foraging Strategy,Together,Together,NA,NA,NA,NA,NA,NA,NA,NA
Foraging Strategy,AloneFemale,AloneFemale,NA,NA,NA,NA,NA,NA,NA,NA
Foraging Strategy,AloneMale,AloneMale,NA,NA,NA,NA,NA,NA,NA,NA
Patch Discovery,Al_Once_Fem,Female Discovered,0.34883639,NA,0.305683273,0.391989506,0.133643021,NA,0.096301174,0.170984867
Patch Discovery,Al_Once_Mal,Male Discovered,0.088706377,NA,0.066774229,0.110638524,0.036309802,NA,0.018384857,0.054234747
Patch Discovery,TogetherORnotOnce,Memorable,0.562457234,NA,0.51980445,0.605110018,0.830047177,NA,0.78911618,0.870978175
Detection,YOR_Al_Once,YOR (no Luminance),NA,NA,NA,NA,NA,NA,NA,NA
Detection,YORLum_Al_Once,YOR with Luminance,NA,NA,NA,NA,NA,NA,NA,NA
Detection,YORall_Al_Once,YOR,NA,NA,NA,NA,NA,NA,NA,NA
Detection,Other_Al_Once,non-YOR,NA,NA,NA,NA,NA,NA,NA,NA
